Keyword,Relevance Score,Context,Frequency
B to C,1.0,From transcript,1
Replet V2,1.0,From transcript,1
Product Requirements Document (PRD),1.0,From transcript,1
selling apps on Upwork,1.0,From transcript,1
software development,1.0,From transcript,1
project finding,1.0,From transcript,1
pricing strategies,1.0,From transcript,1
Vibe Coding,1.0,From transcript,1
app building,1.0,From transcript,1
MVP,1.0,From transcript,1
case study,1.0,From transcript,1
six-figure income examples,1.0,From transcript,1
B2B,1.0,From transcript,1
CRUD apps,1.0,From transcript,1
potential earnings on Upwork,1.0,From transcript,1
SAS businesses,1.0,From transcript,1
Startup Empire membership,1.0,From transcript,1
Upwork,1.0,From transcript,1
